Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteCloud2,Windows - Chrome 110.0.0.0,,,2023-06-19 13:15:17,2023-06-19 13:17:10,1m - 53.682s,PASSED
,,,,,,,
Test Cases/TestCloud2,Windows - Chrome 110.0.0.0,,,2023-06-19 13:15:17,2023-06-19 13:17:10,1m - 53.331s,PASSED
"openBrowser("""")",Windows - Chrome 110.0.0.0,,,2023-06-19 13:15:17,2023-06-19 13:16:39,1m - 21.669s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Windows - Chrome 110.0.0.0,,,2023-06-19 13:16:39,2023-06-19 13:16:41,2.216s,PASSED
"click(findTestObject(""Object Repository/TestCloud2/Page_Demo Web Shop/a_Log in""))",Windows - Chrome 110.0.0.0,,,2023-06-19 13:16:41,2023-06-19 13:16:45,3.710s,PASSED
"setText(findTestObject(""Object Repository/TestCloud2/Page_Demo Web Shop. Login/input_Email_Email""), ""msk123@gmail.com"")",Windows - Chrome 110.0.0.0,,,2023-06-19 13:16:45,2023-06-19 13:16:52,6.969s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TestCloud2/Page_Demo Web Shop. Login/input_Password_Password""), ""GqU6l9U4a6o="")",Windows - Chrome 110.0.0.0,,,2023-06-19 13:16:52,2023-06-19 13:16:57,4.606s,PASSED
"click(findTestObject(""Object Repository/TestCloud2/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Windows - Chrome 110.0.0.0,,,2023-06-19 13:16:57,2023-06-19 13:17:01,4.198s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/TestCloud2/Page_Demo Web Shop/img""), 5)",Windows - Chrome 110.0.0.0,,,2023-06-19 13:17:01,2023-06-19 13:17:03,2.559s,PASSED
"click(findTestObject(""Object Repository/TestCloud2/Page_Demo Web Shop/a_Log out""))",Windows - Chrome 110.0.0.0,,,2023-06-19 13:17:03,2023-06-19 13:17:08,4.302s,PASSED
closeBrowser(),Windows - Chrome 110.0.0.0,,,2023-06-19 13:17:08,2023-06-19 13:17:10,2.658s,PASSED
